varsta,sursa_de_apa,alimente_procesate,peste_sau_fructe_de_mare,recipiente_de_plastic,haine_sintetice,tipul_zonei,mediul_de_lucru,ore_petrecute_in_interior,tipul_de_sare,fumatul,cosmetice,mg_total
62,Bottled_water,5 times a week,12,Never,7,Urban,Factory/Industrial,6,Sea salt,Occasionally,Once a week,62.49350000000001
65,Filtred_water,5 times a week,8,3 times a week,22,Rural,Office,15,Sea salt,Yes,3 times a week,58.087999999999994
62,Tap_water,Every day,9,3 times a week,59,Industrial,Outdoors,4,Sea salt,Yes,Every day,74.233
43,Bottled_water,Once a week,11,3 times a week,80,Urban,Office,5,Sea salt,Occasionally,Once a week,57.449999999999996
60,Tap_water,Once a week,3,5 times a week,77,Urban,Home,21,Sea salt,Yes,Once a week,49.75
67,Tap_water,Once a week,5,3 times a week,3,Industrial,Outdoors,19,Regular salt,Occasionally,5 times a week,41.3575
39,Bottled_water,3 times a week,6,Every day,99,Rural,Office,7,Regular salt,No,3 times a week,85.424
43,Filtred_water,Once a week,10,Every day,76,Industrial,Office,8,Regular salt,No,3 times a week,61.416999999999994
53,Filtred_water,Never,0,3 times a week,5,Rural,Office,17,Regular salt,Yes,3 times a week,36.729
76,Filtred_water,Never,9,5 times a week,30,Rural,Office,22,Regular salt,Yes,3 times a week,51.63750000000001
33,Filtred_water,3 times a week,12,5 times a week,50,Rural,Office,23,Sea salt,Occasionally,Never,60.939
55,Bottled_water,5 times a week,11,Once a week,65,Industrial,Factory/Industrial,4,Sea salt,Yes,3 times a week,74.608
22,Bottled_water,Every day,10,Every day,54,Industrial,Outdoors,20,Regular salt,No,Never,116.27299999999998
24,Tap_water,Once a week,7,Every day,35,Industrial,Home,15,Regular salt,Yes,3 times a week,58.78150000000001
36,Bottled_water,Every day,0,5 times a week,26,Urban,Outdoors,18,Regular salt,Occasionally,3 times a week,98.96849999999998
79,Bottled_water,Once a week,7,3 times a week,33,Rural,Home,0,Regular salt,Yes,Every day,55.6255
54,Tap_water,Once a week,14,Every day,41,Rural,Factory/Industrial,21,Regular salt,No,Every day,72.092
70,Filtred_water,Once a week,5,Never,91,Rural,Outdoors,4,Sea salt,No,Never,27.446500000000004
68,Tap_water,Never,10,Every day,33,Industrial,Factory/Industrial,4,Sea salt,Occasionally,Once a week,48.39500000000001
68,Tap_water,Never,8,Never,19,Urban,Office,9,Sea salt,No,3 times a week,19.641
56,Filtred_water,Every day,0,3 times a week,34,Urban,Office,2,Regular salt,Yes,3 times a week,65.2315
49,Filtred_water,Once a week,8,Every day,97,Urban,Factory/Industrial,1,Regular salt,Yes,Never,60.37000000000001
50,Tap_water,Never,12,5 times a week,24,Rural,Factory/Industrial,4,Regular salt,Occasionally,Never,32.284499999999994
51,Tap_water,5 times a week,6,3 times a week,16,Industrial,Home,21,Regular salt,Occasionally,5 times a week,58.07150000000001
18,Bottled_water,Never,8,Every day,46,Industrial,Outdoors,23,Regular salt,Occasionally,5 times a week,87.94749999999999
42,Bottled_water,3 times a week,7,Never,58,Rural,Office,22,Regular salt,Yes,Once a week,67.4455
30,Tap_water,3 times a week,13,Once a week,2,Industrial,Home,0,Regular salt,No,3 times a week,26.995999999999995
53,Bottled_water,Every day,3,Never,70,Rural,Factory/Industrial,9,Regular salt,Occasionally,Every day,93.16099999999999
60,Tap_water,5 times a week,5,Never,75,Rural,Office,1,Sea salt,Yes,5 times a week,41.27300000000001
40,Tap_water,5 times a week,6,Every day,89,Urban,Factory/Industrial,13,Sea salt,No,3 times a week,78.204
39,Tap_water,Every day,0,Once a week,60,Urban,Outdoors,12,Sea salt,No,5 times a week,65.5185
71,Filtred_water,5 times a week,8,Every day,17,Industrial,Office,2,Regular salt,No,Once a week,62.018
42,Tap_water,3 times a week,7,3 times a week,20,Industrial,Outdoors,9,Regular salt,No,Once a week,37.3815
31,Tap_water,Once a week,5,Once a week,3,Industrial,Office,4,Regular salt,Yes,Once a week,20.763
50,Tap_water,5 times a week,3,Every day,81,Urban,Home,11,Sea salt,No,Never,65.893
40,Bottled_water,Never,3,5 times a week,35,Industrial,Outdoors,8,Regular salt,No,Every day,61.887
63,Tap_water,Never,8,Every day,98,Urban,Outdoors,16,Sea salt,Yes,Never,59.12850000000001
18,Tap_water,Never,0,Every day,37,Rural,Factory/Industrial,12,Sea salt,No,5 times a week,53.557500000000005
48,Bottled_water,5 times a week,5,Every day,92,Industrial,Outdoors,9,Regular salt,No,Once a week,93.0215
28,Tap_water,Never,3,Never,36,Industrial,Office,16,Sea salt,Occasionally,Never,23.364
49,Bottled_water,3 times a week,8,5 times a week,4,Urban,Home,21,Regular salt,No,Once a week,71.726
64,Filtred_water,5 times a week,3,3 times a week,23,Rural,Factory/Industrial,11,Sea salt,Yes,5 times a week,60.547000000000004
42,Filtred_water,3 times a week,7,5 times a week,63,Rural,Factory/Industrial,2,Sea salt,Occasionally,Never,49.1195
35,Tap_water,Every day,3,5 times a week,9,Urban,Office,13,Sea salt,Yes,Never,68.423
25,Tap_water,5 times a week,4,Never,46,Urban,Office,19,Sea salt,Yes,3 times a week,49.778000000000006
18,Tap_water,3 times a week,1,3 times a week,34,Rural,Factory/Industrial,10,Sea salt,Occasionally,5 times a week,45.89150000000001
23,Bottled_water,Every day,4,Never,63,Industrial,Office,14,Regular salt,No,Every day,92.432
23,Tap_water,5 times a week,2,Every day,71,Rural,Outdoors,11,Sea salt,Occasionally,3 times a week,69.839
67,Tap_water,Never,13,3 times a week,72,Rural,Home,14,Sea salt,Yes,5 times a week,43.07250000000001
22,Filtred_water,Never,2,5 times a week,24,Urban,Home,9,Regular salt,Occasionally,Never,33.150999999999996
55,Filtred_water,Once a week,7,Every day,86,Urban,Home,8,Sea salt,Yes,5 times a week,65.3695
55,Bottled_water,Every day,11,Never,97,Urban,Factory/Industrial,9,Sea salt,Occasionally,Every day,99.47699999999998
65,Bottled_water,Every day,8,Never,84,Rural,Factory/Industrial,12,Sea salt,No,3 times a week,92.6615
67,Bottled_water,3 times a week,13,Never,86,Urban,Factory/Industrial,8,Sea salt,No,5 times a week,69.2235
55,Tap_water,5 times a week,8,Every day,93,Urban,Office,12,Sea salt,Occasionally,3 times a week,74.93149999999999
45,Bottled_water,Never,14,Never,42,Industrial,Home,3,Sea salt,No,3 times a week,43.71150000000001
55,Tap_water,Once a week,1,5 times a week,38,Urban,Office,11,Regular salt,Occasionally,5 times a week,40.821000000000005
33,Bottled_water,Never,9,Every day,42,Urban,Home,15,Regular salt,Occasionally,Never,73.36999999999999
51,Tap_water,Never,13,Never,30,Urban,Home,21,Regular salt,Occasionally,Once a week,30.025
71,Tap_water,Every day,10,Once a week,5,Urban,Office,20,Regular salt,Occasionally,5 times a week,69.9235
22,Filtred_water,5 times a week,11,Once a week,69,Urban,Factory/Industrial,9,Regular salt,Occasionally,Every day,62.753
47,Bottled_water,3 times a week,14,Once a week,31,Rural,Factory/Industrial,21,Sea salt,Occasionally,Once a week,71.951
67,Tap_water,Never,14,Once a week,85,Industrial,Office,3,Sea salt,Yes,3 times a week,30.668499999999995
73,Bottled_water,3 times a week,14,Never,90,Industrial,Office,18,Sea salt,No,Once a week,68.99000000000001
44,Bottled_water,Every day,2,Once a week,82,Rural,Outdoors,4,Regular salt,No,Every day,87.7025
25,Filtred_water,5 times a week,6,3 times a week,20,Rural,Outdoors,0,Sea salt,Yes,Never,42.6405
34,Bottled_water,3 times a week,3,Once a week,18,Rural,Outdoors,1,Regular salt,Yes,Once a week,49.063
77,Filtred_water,Every day,3,Once a week,21,Industrial,Home,9,Regular salt,Occasionally,Every day,68.9975
32,Filtred_water,3 times a week,6,Once a week,78,Urban,Home,8,Sea salt,Occasionally,3 times a week,43.7325
41,Bottled_water,Never,8,3 times a week,25,Rural,Home,8,Sea salt,Occasionally,Never,47.1005
69,Bottled_water,3 times a week,6,Never,9,Urban,Home,13,Regular salt,Yes,3 times a week,57.80200000000001
43,Filtred_water,Never,11,Every day,74,Urban,Outdoors,21,Regular salt,Yes,3 times a week,70.489
76,Filtred_water,Once a week,6,Every day,96,Industrial,Factory/Industrial,5,Sea salt,Yes,Every day,72.41050000000001
34,Bottled_water,Once a week,10,Once a week,40,Industrial,Office,11,Sea salt,Yes,Never,53.96050000000001
40,Filtred_water,5 times a week,13,Never,82,Urban,Outdoors,12,Sea salt,Yes,5 times a week,59.85850000000001
60,Bottled_water,Never,4,Every day,2,Urban,Office,10,Regular salt,No,5 times a week,69.0675
55,Filtred_water,Once a week,1,Never,52,Urban,Factory/Industrial,17,Regular salt,Occasionally,5 times a week,43.821000000000005
60,Tap_water,Once a week,10,5 times a week,47,Urban,Office,19,Regular salt,Occasionally,5 times a week,51.165000000000006
31,Filtred_water,3 times a week,11,Once a week,35,Rural,Office,12,Sea salt,Yes,5 times a week,48.24850000000001
45,Bottled_water,Every day,4,3 times a week,9,Industrial,Factory/Industrial,13,Sea salt,Yes,3 times a week,96.53450000000001
24,Filtred_water,Never,12,5 times a week,4,Urban,Factory/Industrial,22,Regular salt,Yes,Once a week,52.85850000000001
64,Bottled_water,Once a week,12,3 times a week,4,Industrial,Factory/Industrial,6,Sea salt,No,Once a week,55.385000000000005
58,Filtred_water,Once a week,9,Never,42,Rural,Factory/Industrial,14,Regular salt,Yes,3 times a week,42.13850000000001
48,Bottled_water,5 times a week,11,5 times a week,38,Industrial,Outdoors,18,Sea salt,Yes,3 times a week,88.916
48,Bottled_water,Once a week,7,3 times a week,66,Urban,Factory/Industrial,21,Regular salt,Yes,3 times a week,75.856
52,Filtred_water,3 times a week,8,Never,12,Industrial,Home,0,Regular salt,Yes,5 times a week,34.232
62,Tap_water,Never,3,5 times a week,79,Rural,Home,15,Regular salt,Occasionally,Once a week,39.298
72,Tap_water,3 times a week,5,5 times a week,86,Rural,Home,13,Sea salt,No,Every day,56.54600000000001
33,Bottled_water,Once a week,0,5 times a week,93,Rural,Outdoors,8,Regular salt,Occasionally,3 times a week,64.9275
38,Tap_water,3 times a week,12,Never,16,Industrial,Factory/Industrial,20,Regular salt,No,Once a week,43.431999999999995
32,Tap_water,Never,6,Once a week,78,Industrial,Factory/Industrial,5,Regular salt,Yes,Once a week,30.7985
70,Bottled_water,3 times a week,5,Never,32,Rural,Office,20,Regular salt,Occasionally,Every day,68.1435
44,Bottled_water,5 times a week,8,Every day,11,Rural,Outdoors,18,Sea salt,Occasionally,5 times a week,97.04449999999999
57,Bottled_water,Never,2,3 times a week,68,Industrial,Factory/Industrial,9,Regular salt,Occasionally,Never,56.895500000000006
79,Tap_water,Once a week,1,5 times a week,79,Industrial,Home,14,Sea salt,No,Never,40.755
40,Bottled_water,5 times a week,6,Every day,74,Rural,Home,8,Sea salt,Yes,Never,89.6935
28,Tap_water,3 times a week,12,Every day,4,Urban,Factory/Industrial,22,Regular salt,No,3 times a week,71.1545
47,Bottled_water,3 times a week,3,3 times a week,70,Urban,Home,18,Sea salt,Occasionally,Never,69.1295
60,Tap_water,Never,1,3 times a week,6,Rural,Factory/Industrial,14,Regular salt,Occasionally,Never,28.873499999999996
65,Tap_water,5 times a week,0,5 times a week,24,Rural,Factory/Industrial,16,Regular salt,Yes,5 times a week,63.37950000000001
20,Tap_water,Once a week,6,Once a week,4,Rural,Outdoors,4,Regular salt,No,Never,16.150499999999997
34,Bottled_water,Never,13,3 times a week,95,Rural,Factory/Industrial,3,Regular salt,No,5 times a week,62.611000000000004
36,Bottled_water,5 times a week,12,Once a week,28,Urban,Outdoors,9,Sea salt,Yes,Every day,74.87500000000001
48,Bottled_water,3 times a week,11,3 times a week,76,Rural,Outdoors,15,Sea salt,Occasionally,5 times a week,77.11699999999999
39,Tap_water,3 times a week,1,Every day,91,Industrial,Home,3,Sea salt,Yes,Once a week,58.01950000000001
60,Bottled_water,3 times a week,11,Every day,92,Urban,Factory/Industrial,5,Regular salt,Yes,Never,89.48799999999999
36,Tap_water,Every day,0,Every day,78,Urban,Outdoors,10,Regular salt,Occasionally,Every day,92.83649999999999
67,Bottled_water,Never,0,Every day,67,Industrial,Office,8,Regular salt,Yes,Once a week,71.825
70,Tap_water,3 times a week,6,Never,69,Urban,Home,22,Sea salt,Occasionally,3 times a week,45.727500000000006
65,Bottled_water,3 times a week,4,Once a week,98,Rural,Outdoors,15,Regular salt,Yes,3 times a week,70.974
46,Bottled_water,3 times a week,12,5 times a week,56,Industrial,Home,2,Sea salt,Yes,3 times a week,70.513
25,Filtred_water,Every day,3,5 times a week,68,Industrial,Home,1,Regular salt,Occasionally,5 times a week,75.65749999999997
26,Filtred_water,5 times a week,11,Never,37,Rural,Factory/Industrial,4,Regular salt,Yes,5 times a week,51.737500000000004
47,Filtred_water,Every day,11,3 times a week,69,Rural,Outdoors,8,Sea salt,Yes,Never,73.8885
33,Bottled_water,5 times a week,14,Once a week,94,Rural,Home,14,Sea salt,No,Never,72.9645
65,Tap_water,5 times a week,6,Never,23,Urban,Home,11,Sea salt,Occasionally,Once a week,37.296
24,Tap_water,Every day,0,Never,38,Rural,Factory/Industrial,20,Sea salt,Occasionally,Every day,73.78450000000001
30,Filtred_water,Every day,10,Every day,77,Urban,Home,15,Regular salt,Occasionally,Every day,104.30999999999999
54,Filtred_water,3 times a week,4,5 times a week,62,Urban,Outdoors,5,Sea salt,Occasionally,Once a week,48.040000000000006
24,Tap_water,5 times a week,5,5 times a week,99,Industrial,Office,18,Sea salt,Yes,Once a week,66.45
62,Tap_water,Every day,9,5 times a week,33,Industrial,Office,2,Sea salt,No,Once a week,64.058
